"hour","min_op1","min_op2","min_op3","min_op4"
"6","20","40","",""
"7","0","20","30",""
"8","0","30","",""
"9","0","30","",""
"10","0","10","30",""
"11","0","20","30","50"
"12","5","25","50",""
"13","10","30","",""
"14","0","30","",""
"15","0","30","",""
"16","10","40","",""
"17","20","40","",""
"18","0","20","40",""
"19","0","20","50",""
"20","10","30","40",""
"21","10","30","45",""
"22","0","20","",""
